      1 a 100 1 11
      1 a 100 1 5
      1 a 100 1 7
      1 a 100 1 8
      1 a 100 1 9
      1 a 101 1 0
      1 a 10 2 1
      1 a 102 1 6
      1 a 102 1 7
      1 a 102 3 1
      1 a 102 6 1
      1 a 109 1 1
      1 a 111 1 0
      1 a 111 1 1
      1 a 111 1 3
      1 a 1 1 4
      1 a 114 1 1
      1 a 115 1 1
      1 a 115 1 2
      1 a 115 1 3
      1 a 118 11 0
      1 a 118 11 1
      1 a 118 1 13
      1 a 118 1 21
      1 a 118 1 24
      1 a 118 1 25
      1 a 118 1 26
      1 a 118 1 27
      1 a 118 1 3
      1 a 118 1 30
      1 a 118 13 1
      1 a 118 1 4
      1 a 118 14 0
      1 a 118 1 5
      1 a 118 15 1
      1 a 118 16 0
      1 a 118 16 1
      1 a 118 1 7
      1 a 118 1 9
      1 a 118 20 1
      1 a 118 21 0
      1 a 118 22 1
      1 a 118 23 1
      1 a 118 24 1
      1 a 118 25 1
      1 a 118 26 0
      1 a 118 4 1
      1 a 118 5 1
      1 a 118 8 10
      1 a 118 8 2
      1 a 118 8 3
      1 a 118 8 5
      1 a 118 8 8
      1 a 119 1 0
      1 a 119 1 2
      1 a 120 1 1
      1 a 1 2 2
      1 a 124 1 2
      1 a 128 1 2
      1 a 128 1 5
      1 a 130 1 3
      1 a 130 1 4
      1 a 133 1 1
      1 a 133 1 3
      1 a 137 10 1
      1 a 137 1 1
      1 a 137 11 1
      1 a 137 12 1
      1 a 137 13 1
      1 a 137 14 1
      1 a 137 15 1
      1 a 137 4 1
      1 a 137 5 1
      1 a 140 3 1
      1 a 140 4 1
      1 a 140 6 1
      1 a 147 1 1
      1 a 148 1 1
      1 a 149 1 0
      1 a 149 1 2
      1 a 150 1 1
      1 a 15 1 1
      1 a 151 1 1
      1 a 156 1 3
      1 a 159 1 0
      1 a 159 3 1
      1 a 159 4 1
      1 a 159 5 1
      1 a 160 1 3
      1 a 160 1 4
      1 a 160 1 5
      1 a 16 1 0
      1 a 163 1 1
      1 a 166 1 1
      1 a 17 1 1
      1 a 17 1 2
      1 a 174 1 0
      1 a 176 1 1
      1 a 177 1 0
      1 a 178 1 1
      1 a 179 1 1
      1 a 180 1 1
      1 a 18 1 1
      1 a 181 1 1
      1 a 182 1 1
      1 a 185 1 1
      1 a 186 1 2
      1 a 187 1 0
      1 a 187 1 1
      1 a 188 1 1
      1 a 189 1 0
      1 a 191 1 1
      1 a 192 1 0
      1 a 192 1 1
      1 a 196 1 1
      1 a 198 1 1
      1 a 199 1 1
      1 a 200 1 1
      1 a 20 1 0
      1 a 203 1 1
      1 a 204 1 3
      1 a 205 1 1
      1 a 206 1 1
      1 a 208 1 0
      1 a 209 1 1
      1 a 2 1 0
      1 a 210 1 1
      1 a 211 1 3
      1 a 211 1 5
      1 a 211 1 6
      1 a 211 1 7
      1 a 211 1 8
      1 a 212 1 1
      1 a 213 1 1
      1 a 213 1 3
      1 a 213 1 4
      1 a 2 14 1
      1 a 214 1 1
      1 a 215 1 1
      1 a 2 17 0
      1 a 2 18 1
      1 a 218 1 1
      1 a 219 1 1
      1 a 220 1 1
      1 a 221 1 1
      1 a 222 1 1
      1 a 223 1 2
      1 a 224 1 1
      1 a 225 1 1
      1 a 226 1 1
